ID,Title,Description,Phase,Epic,Labels,Estimate,Priority
P1-01,Add authentication (email/password + SSO),"Add authentication (NextAuth or Clerk) with email/password + at least one SSO provider (Google Workspace).",Phase 1 - Platform Foundations,1.1 Auth & Identity,"area:api, area:web, type:feature",3,Urgent
P1-02,Session/JWT handling in tRPC context,"Session/JWT handling in the tRPC context; replace publicProcedure with protectedProcedure across all routers.",Phase 1 - Platform Foundations,1.1 Auth & Identity,"area:api, type:security",3,Urgent
P1-03,RBAC model (Owner/Admin/Editor/Viewer/Auditor),"Role-based access control model: Owner, Admin, Editor, Viewer, ComplianceAuditor roles scoped per Organization/Project.",Phase 1 - Platform Foundations,1.1 Auth & Identity,"area:api, area:db, type:feature",5,Urgent
P1-04,SSO/SAML support for enterprise orgs,"SSO/SAML support for enterprise orgs (compliance customers will require this).",Phase 1 - Platform Foundations,1.1 Auth & Identity,"area:api, type:feature, compliance",3,High
P1-05,API keys / service tokens for CI integrations,"API keys / service tokens for CI integrations (test result ingestion, PR scanning) that don't go through a human session.",Phase 1 - Platform Foundations,1.1 Auth & Identity,"area:api, type:feature",1,High
P1-06,Enforce org/project scoping on every query,"Enforce organizationId/projectId scoping in every query via a Prisma middleware or repository layer - audit existing routers, which currently trust client-supplied projectId.",Phase 1 - Platform Foundations,1.2 Multi-tenancy hardening,"area:api, type:security",3,Urgent
P1-07,Add audit columns to core models,"Add createdById/updatedById audit columns to core models (TestCase, TestPlan, Release, RiskFlag).",Phase 1 - Platform Foundations,1.2 Multi-tenancy hardening,"area:db",1,Medium
P1-08,Org/project settings UI,"Org/project settings UI: members, roles, project repo linking.",Phase 1 - Platform Foundations,1.2 Multi-tenancy hardening,"area:web, type:feature",3,High
P1-09,Demo org/project seed script,"Seed script for a demo org/project so new devs and CI have consistent fixture data instead of manually pasting project ids.",Phase 1 - Platform Foundations,1.2 Multi-tenancy hardening,"dx",1,Medium
P1-10,Test case create/edit forms in web,"Test case create/edit forms in web (currently only reverse-engineering produces test cases; manual authoring UI is missing).",Phase 1 - Platform Foundations,1.3 Core CRUD UI hardening,"area:web, type:feature",3,High
P1-11,Test plan create/edit UI with dynamic fieldSchema forms,"Test plan create/edit UI, including dynamic form rendering from TestPlanType.fieldSchema (JSON Schema -> form).",Phase 1 - Platform Foundations,1.3 Core CRUD UI hardening,"area:web, type:feature",3,High
P1-12,Requirement + AcceptanceCriterion CRUD UI,"Requirement + AcceptanceCriterion CRUD UI, linkable to test plans.",Phase 1 - Platform Foundations,1.3 Core CRUD UI hardening,"area:web, type:feature",1,Medium
P1-13,Bulk operations on test cases,"Bulk operations: tag test cases, bulk move between test plans, bulk archive.",Phase 1 - Platform Foundations,1.3 Core CRUD UI hardening,"area:web, type:feature",3,Medium
P1-14,Global search across test cases/plans,"Global search across test cases/plans (Postgres full-text to start; revisit if scale demands a search index).",Phase 1 - Platform Foundations,1.3 Core CRUD UI hardening,"area:api, area:web",3,Medium
P1-15,Adopt @trpc/react-query in web,"Replace ad-hoc useEffect fetch patterns in web with @trpc/react-query for caching/invalidation.",Phase 1 - Platform Foundations,1.3 Core CRUD UI hardening,"area:web, type:tech-debt",3,Medium
P2-01,Background job worker for ReverseEngineerJob,"ReverseEngineerJob worker: background queue (BullMQ + Redis, or a simple Postgres-backed job table to start) processing REPO_SCAN jobs file-by-file.",Phase 2 - AI Reverse-Engineering at Scale,2.1 Repo-wide scanning,"area:api, type:feature",5,High
P2-02,GitHub repo connector for repo scans,"GitHub repo connector: clone/checkout a repo (or use the Contents API) given a Project.repoUrl, walk test-file glob patterns per detected framework.",Phase 2 - AI Reverse-Engineering at Scale,2.1 Repo-wide scanning,"area:api, type:feature, integration:github",3,High
P2-03,Job status UI for repo scans,"Job status UI: progress bar, per-file results, retry-failed-files.",Phase 2 - AI Reverse-Engineering at Scale,2.1 Repo-wide scanning,"area:web, type:feature",1,Medium
P2-04,Deduplicate re-scanned test cases,"Deduplication: re-running a scan on an unchanged file should not create duplicate TestCases - key on (filePath, functionName) + content hash, update in place if the source changed.",Phase 2 - AI Reverse-Engineering at Scale,2.1 Repo-wide scanning,"area:api, type:feature",3,High
P2-05,Diff-aware re-scan on new commits,"Diff-aware re-scan: on a new commit, only re-run the agent on changed test files (shares file-list logic with Phase 6's PR scanner).",Phase 2 - AI Reverse-Engineering at Scale,2.1 Repo-wide scanning,"area:api, type:feature",3,Medium
P2-06,Human review workflow for AI test cases,"Human review workflow for AI-reverse-engineered test cases: PENDING_REVIEW -> APPROVED/REJECTED status, diff view (AI output vs. edited-by-human).",Phase 2 - AI Reverse-Engineering at Scale,2.2 Quality & feedback loop,"area:web, area:api, type:feature",3,High
P2-07,Edit-and-resubmit feedback capture,"Edit-and-resubmit: when a human edits an AI-generated test case, capture that as a labeled example; periodically review edit patterns to tighten the system prompt.",Phase 2 - AI Reverse-Engineering at Scale,2.2 Quality & feedback loop,"area:ai, type:feature",3,Medium
P2-08,Confidence-based review triage queue,"Confidence-based triage: auto-surface all test cases below a configurable confidence threshold into a review queue.",Phase 2 - AI Reverse-Engineering at Scale,2.2 Quality & feedback loop,"area:web, type:feature",1,Medium
P2-09,Batch cost/latency controls for agent calls,"Batch cost/latency controls: chunk large files, cap concurrent agent calls, add per-org rate limiting on reverse-engineering jobs.",Phase 2 - AI Reverse-Engineering at Scale,2.2 Quality & feedback loop,"area:ai, type:infra",3,High
P2-10,Prompt regression test suite,"Prompt regression test suite: a fixed set of sample test files (one per known framework) with expected BDD output, run in CI to catch prompt-change regressions.",Phase 2 - AI Reverse-Engineering at Scale,2.2 Quality & feedback loop,"area:ai, type:testing",1,Medium
P2-11,File/zip upload support for reverse-engineering,"File upload support (not just paste) - zip of a test directory, single file upload.",Phase 2 - AI Reverse-Engineering at Scale,2.3 Multi-format input,"area:web, type:feature",3,Medium
P2-12,Postman/Newman collection import to BDD,"Postman/Newman collection import -> BDD (structurally different from code-based frameworks: request/assertion pairs, not functions).",Phase 2 - AI Reverse-Engineering at Scale,2.3 Multi-format input,"area:ai, type:feature",1,Low
P2-13,Gherkin/.feature file import,"Gherkin/.feature file import - already BDD; this path validates/normalizes into the schema rather than inferring from scratch.",Phase 2 - AI Reverse-Engineering at Scale,2.3 Multi-format input,"area:ai, type:feature",3,Medium
P3-01,Compliance framework/control admin UI,"Compliance framework/control admin UI: browse seeded frameworks (SOC 2, HIPAA, PCI DSS, GDPR, ISO 27001), add custom frameworks/controls.",Phase 3 - Compliance & Governance,3.1 Framework & control management,"area:web, compliance",3,High
P3-02,Importer for standard control sets,"Import well-known control sets from structured sources (AICPA TSC for SOC 2, NIST CSF, etc.) rather than hand-seeding - build an importer since these get revised.",Phase 3 - Compliance & Governance,3.1 Framework & control management,"area:api, compliance",5,Medium
P3-03,Test case to control mapping UI + coverage view,"Test case <-> control mapping UI (many-to-many via TestCaseComplianceControl) with coverage-per-control view: which controls have zero mapped test cases.",Phase 3 - Compliance & Governance,3.1 Framework & control management,"area:web, compliance",3,High
P3-04,Control coverage report export,"Control coverage report export (PDF/CSV) for auditor handoff.",Phase 3 - Compliance & Governance,3.1 Framework & control management,"area:web, compliance, type:feature",1,Medium
P3-05,Evidence attachment model for controls,"Evidence attachment model: link a TestResult (a passing execution) as evidence for a control, with immutable timestamped record.",Phase 3 - Compliance & Governance,3.2 Evidence & audit trail,"area:db, area:api, compliance",5,High
P3-06,Full audit log for compliance-relevant changes,"Full audit log (who changed what test case/plan/control mapping, when) - required for most compliance frameworks' own controls around change management.",Phase 3 - Compliance & Governance,3.2 Evidence & audit trail,"area:api, area:db, compliance",3,High
P3-07,Compliance sign-off workflow,"Sign-off workflow: a ComplianceAuditor role can formally approve a control's evidence for a given period/release, with a durable signed record.",Phase 3 - Compliance & Governance,3.2 Evidence & audit trail,"area:web, area:api, compliance",3,High
P3-08,Configurable evidence retention policy,"Retention policy configuration per org (how long evidence/audit logs are kept), since different frameworks mandate different retention windows.",Phase 3 - Compliance & Governance,3.2 Evidence & audit trail,"area:api, compliance",1,Medium
P3-09,Custom compliance plan type builder,"Add your own compliance form flow: org admin defines a new TestPlanType (category COMPLIANCE) with a custom fieldSchema via a form builder, no code change required.",Phase 3 - Compliance & Governance,3.3 Custom compliance plan types,"area:web, area:api, compliance, type:feature",3,High
P3-10,Compliance plan template library,"Template library: starter field schemas for common internal audit / vendor-security-questionnaire style plans.",Phase 3 - Compliance & Governance,3.3 Custom compliance plan types,"area:web, compliance",1,Low
P4-01,QA strategy plan authoring UI,"Strategy plan authoring UI rendering the qa-strategy field schema (risk areas, environments, entry/exit criteria) as a structured, guided form rather than raw JSON.",Phase 4 - QA Testing Strategy Generation,4.0 Strategy generation,"area:web, type:feature",3,Medium
P4-02,AI-assisted QA strategy generation,"AI-assisted strategy generation: given a project's codebase summary (languages, frameworks detected, existing test coverage) plus a short prompt, draft a starter strategy plan.",Phase 4 - QA Testing Strategy Generation,4.0 Strategy generation,"area:ai, type:feature",5,Medium
P4-03,AI-assisted risk-area inference,"Risk-area inference: cross-reference RiskFlags, historical TestResult failure rates, and compliance control gaps to suggest risk areas automatically.",Phase 4 - QA Testing Strategy Generation,4.0 Strategy generation,"area:ai, area:api, type:feature",3,Medium
P4-04,Link QA strategies to concrete test plans,"Strategy-to-plan linking: a QA strategy should be able to spawn/reference concrete TestPlans so the strategy is an actual coordination hub, not just a document.",Phase 4 - QA Testing Strategy Generation,4.0 Strategy generation,"area:api, area:db, type:feature",3,Medium
P4-05,QA strategy plan versioning/history,"Strategy plan versioning/history (strategies evolve release to release; need to see what changed).",Phase 4 - QA Testing Strategy Generation,4.0 Strategy generation,"area:db, area:api, type:feature",1,Low
P4-06,Exit-criteria tracking dashboard (per strategy),"Exit-criteria tracking dashboard: live status of each strategy's exit criteria against current test/coverage data.",Phase 4 - QA Testing Strategy Generation,4.0 Strategy generation,"area:web, type:feature",3,Medium
P5-01,Generic JUnit XML ingestion endpoint,"Generic JUnit XML ingestion endpoint (de facto universal format - Jest, pytest, Go, Cypress, Playwright, most CI systems can emit or convert to it).",Phase 5 - Execution Ingestion & Framework Evaluators,5.1 Result ingestion,"area:api, type:feature",3,High
P5-02,GitHub Actions result-posting action,"GitHub Actions integration: a reusable workflow step/action that posts TestRun/TestResults to the API at the end of a CI run.",Phase 5 - Execution Ingestion & Framework Evaluators,5.1 Result ingestion,"integration:github, type:feature",1,High
P5-03,CircleCI + Jenkins ingestion adapters,"CircleCI + Jenkins ingestion adapters (translate their native result formats/webhooks to the same TestRun shape).",Phase 5 - Execution Ingestion & Framework Evaluators,5.1 Result ingestion,"area:api, type:feature",3,Medium
